Timestamp,Purchased_via_Livestream,Living_in_HCMC_Area,Livestream_Frequency,Purchase_Frequency_Monthly,Most_Purchased_Product_Group,Return_Refund_Frequency,Gender,Occupation,Monthly_Income,Birth_Year_Range,Info_Clear_Easy_Understand,Livestream_Info_Sufficient,Info_Accurate_Promotions,Livestream_Info_Useful_Trends,Streamer_Receives_Feedback,Livestreamer_Encourages_Interaction,Streamer_Cares_About_Viewer_Opinions,Viewers_Interact_With_Each_Other,Livestream_Helps_Understand_Product_Use,Livestream_Content_Helps_Evaluate_Quality,Watching_Livestream_Aids_Product_Evaluation,Livestream_Provides_Enough_Info_For_Purchase_Decision,KOL_KOC_Understands_Product,KOL_KOC_Knowledgeable_Experienced,KOL_KOC_Professional_Expert,KOL_KOC_Insightful_Helpful_Reviews,KOL_KOC_Introduces_Product_Honestly,KOL_KOC_Shares_Experience_Sincerely,KOL_KOC_Trustworthy_Source,KOL_KOC_Reviews_Seriously_Diligently,Focused_On_Livestream_Content,Livestream_Stimulates_Curiosity_Exploration,Livestream_Watching_Is_Fun,Engrossed_In_Livestream_Without_Distraction,Impulse_Purchase_Not_Planned,Purchase_Decision_Influenced_By_Emotion,Câu 34: Hành vi “thấy là mua” mô tả khá chính xác cách tôi mua hàng trong livestream.,Frequent_Unplanned_Purchases,Wished_Researched_More_Before_Purchase,Too_Hasty_To_Confirm_Order,Better_Decision_With_Rationality,Regret_Not_Thinking_Carefully_Before_Purchase,Should_Have_Chosen_Different_Product,Regret_Purchase_Decision,Dissatisfied_After_Receiving_Product,Wished_Had_Not_Spent_Money,Considering_Return_Product,Likely_To_Return_Product,Decided_To_Request_Return_Refund,Product_Return_Option_Considered,Will_Return_If_Conditions_Allow,Leave_Negative_Review_Product,Will_Not_Recommend_Product_Negative,Advise_Friends_Family_Not_Buy_Product,Share_Negative_Experience_Social_Media,Leave_Negative_Comment_Product,Boycott_Product_Posts,Actively_Share_Seek_Negative_Reviews,Share_Negative_Shopping_Content,is_synthetic
2026-07-02 12:03:15.000000000,Có,Khu vực khác,,,,,,,,Từ năm 1997 đến năm 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-07-02 12:03:52.000000000,Có,Đúng,Ít hơn 1 lần / tuần,Từ 1 - 3 lần,"Thời trang, quần áo, phụ kiện",Chưa bao giờ,Nam,Người đã đi làm,Trên 10 triệu VND,Từ năm 1997 đến năm 2012,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,5.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,0
2026-07-02 12:06:06.000000000,Có,Khu vực khác,,,,,,,,Từ năm 1997 đến năm 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-07-02 12:07:50.000000000,Có,Đúng,Hàng ngày,Từ 1 - 3 lần,"Thời trang, quần áo, phụ kiện",Chưa bao giờ,Nữ,Học sinh / Sinh viên,Từ 3 triệu - dưới 5 triệu VND,Từ năm 1997 đến năm 2012,4.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,5.0,5.0,5.0,2.0,2.0,4.0,2.0,3.0,0
2026-07-02 12:09:18.000000000,Có,Đúng,Ít hơn 1 lần / tuần,Từ 4 - 6 lần,"Đồ ăn, thức uống, đồ ăn vặt",1 - 2 lần,Nữ,Người đã đi làm,Từ 5 triệu - 10 triệu VND,Từ năm 1997 đến năm 2012,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,0
2026-07-02 12:11:51.000000000,Có,Đúng,Ít hơn 1 lần / tuần,Dưới 1 lần,"Thời trang, quần áo, phụ kiện",Chưa bao giờ,Nam,Người đã đi làm,Trên 10 triệu VND,Từ năm 1997 đến năm 2012,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0
2026-07-02 12:20:52.000000000,Có,Đúng,Ít hơn 1 lần / tuần,Dưới 1 lần,"Mỹ phẩm, sản phẩm chăm sóc cá nhân",1 - 2 lần,Nữ,Học sinh / Sinh viên,Dưới 3 triệu VND,Từ năm 1997 đến năm 2012,2.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,0
2026-07-02 12:21:26.000000000,Có,Đúng,2 - 3 lần / tuần,Từ 1 - 3 lần,"Mỹ phẩm, sản phẩm chăm sóc cá nhân",1 - 2 lần,Nữ,Học sinh / Sinh viên,Từ 3 triệu - dưới 5 triệu VND,Từ năm 1997 đến năm 2012,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0
2026-07-02 12:31:10.000000000,Có,Đúng,2 - 3 lần / tuần,Từ 1 - 3 lần,"Đồ điện tử, phụ kiện công nghệ, đồ gia dụng tiện ích",Chưa bao giờ,Nam,Học sinh / Sinh viên,Dưới 3 triệu VND,Từ năm 1997 đến năm 2012,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,3.0,1.0,1.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,0
2026-07-02 12:37:08.000000000,Có,Đúng,2 - 3 lần / tuần,Từ 1 - 3 lần,"Thời trang, quần áo, phụ kiện",Chưa bao giờ,Nam,Học sinh / Sinh viên,Dưới 3 triệu VND,Từ năm 1997 đến năm 2012,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
2026-07-02 12:39:21.000000000,Có,Đúng,2 - 3 lần / tuần,Từ 1 - 3 lần,"Mỹ phẩm, sản phẩm chăm sóc cá nhân",Chưa bao giờ,Nam,Học sinh / Sinh viên,Dưới 3 triệu VND,Từ năm 1997 đến năm 2012,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,1.0,5.0,4.0,2.0,0
2026-07-02 12:44:35.000000000,Có,Đúng,Hàng ngày,Trên 6 lần,"Thời trang, quần áo, phụ kiện",1 - 2 lần,Nữ,Học sinh / Sinh viên,Từ 3 triệu - dưới 5 triệu VND,Từ năm 1997 đến năm 2012,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,0
2026-07-02 12:44:36.000000000,,,,,,,,,,Sau năm 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-07-02 12:52:38.000000000,Có,Đúng,Ít hơn 1 lần / tuần,Từ 1 - 3 lần,"Thời trang, quần áo, phụ kiện",1 - 2 lần,Nam,Học sinh / Sinh viên,Dưới 3 triệu VND,Từ năm 1997 đến năm 2012,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,0
2026-07-02 12:57:46.000000000,Chưa,,,,,,,,,Từ năm 1997 đến năm 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-07-02 12:59:15.000000000,Có,Đúng,Ít hơn 1 lần / tuần,Từ 1 - 3 lần,Khác,Chưa bao giờ,Nam,Học sinh / Sinh viên,Từ 3 triệu - dưới 5 triệu VND,Từ năm 1997 đến năm 2012,3.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,2.0,3.0,3.0,3.0,1.0,1.0,5.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,5.0,5.0,5.0,1.0,3.0,1.0,4.0,3.0,0
2026-07-02 13:22:26.000000000,,,,,,,,,,Sau năm 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-07-02 13:33:12.000000000,Có,Đúng,Ít hơn 1 lần / tuần,Dưới 1 lần,"Mỹ phẩm, sản phẩm chăm sóc cá nhân",1 - 2 lần,Nam,Học sinh / Sinh viên,Dưới 3 triệu VND,Từ năm 1997 đến năm 2012,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0
2026-07-02 13:42:05.000000000,Chưa,,,,,,,,,Từ năm 1997 đến năm 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-07-02 13:51:10.000000000,Có,Đúng,Ít hơn 1 lần / tuần,Dưới 1 lần,"Đồ điện tử, phụ kiện công nghệ, đồ gia dụng tiện ích",1 - 2 lần,Nữ,Người đã đi làm,Trên 10 triệu VND,Từ năm 1997 đến năm 2012,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,1.0,1.0,3.0,1.0,1.0,0
2026-07-02 13:52:47.000000000,Chưa,,,,,,,,,Từ năm 1997 đến năm 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-07-02 14:12:18.000000000,,,,,,,,,,Sau năm 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-07-02 14:21:56.000000000,Có,Đúng,Hàng ngày,Từ 1 - 3 lần,"Thời trang, quần áo, phụ kiện",1 - 2 lần,Nam,Học sinh / Sinh viên,Dưới 3 triệu VND,Từ năm 1997 đến năm 2012,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0
2026-07-02 14:25:20.000000000,Chưa,,,,,,,,,Từ năm 1997 đến năm 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-07-02 14:28:31.000000000,Có,Đúng,1 lần / tuần,Dưới 1 lần,Mua nhiều sản phẩm,Chưa bao giờ,Nữ,Học sinh / Sinh viên,Dưới 3 triệu VND,Từ năm 1997 đến năm 2012,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0
2026-07-02 14:37:05.000000000,Chưa,,,,,,,,,Từ năm 1997 đến năm 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-07-02 14:48:30.000000000,Có,Đúng,Ít hơn 1 lần / tuần,Dưới 1 lần,Mua nhiều sản phẩm,Chưa bao giờ,Nữ,Học sinh / Sinh viên,Dưới 3 triệu VND,Từ năm 1997 đến năm 2012,3.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,5.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0
2026-07-02 15:07:29.000000000,,,,,,,,,,Sau năm 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-07-02 15:13:26.000000000,Chưa,,,,,,,,,Từ năm 1997 đến năm 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-07-02 15:51:43.000000000,Có,Đúng,2 - 3 lần / tuần,Từ 1 - 3 lần,"Thời trang, quần áo, phụ kiện",3 - 5 lần,Nam,Học sinh / Sinh viên,Từ 3 triệu - dưới 5 triệu VND,Từ năm 1997 đến năm 2012,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0
2026-07-02 17:13:10.000000000,Chưa,,,,,,,,,Từ năm 1997 đến năm 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-07-02 22:12:06.000000000,Chưa,,,,,,,,,Từ năm 1997 đến năm 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-07-03 18:32:26.000000000,Có,Đúng,1 lần / tuần,Từ 1 - 3 lần,"Thời trang, quần áo, phụ kiện",Chưa bao giờ,Nữ,Học sinh / Sinh viên,Dưới 3 triệu VND,Từ năm 1997 đến năm 2012,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0
2026-07-06 09:48:23.000000000,Chưa,,,,,,,,,Từ năm 1997 đến năm 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-07-06 20:30:26.000000000,Có,Đúng,2 - 3 lần / tuần,Từ 1 - 3 lần,Mua nhiều sản phẩm,1 - 2 lần,Nam,Học sinh / Sinh viên,Dưới 3 triệu VND,Từ năm 1997 đến năm 2012,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0
2026-07-06 20:32:53.000000000,Có,Đúng,1 lần / tuần,Từ 1 - 3 lần,"Thời trang, quần áo, phụ kiện",1 - 2 lần,Nam,Học sinh / Sinh viên,Trên 10 triệu VND,Từ năm 1997 đến năm 2012,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0
2026-07-06 20:35:32.000000000,Có,Đúng,Hàng ngày,Dưới 1 lần,"Thời trang, quần áo, phụ kiện",1 - 2 lần,Nam,Học sinh / Sinh viên,Dưới 3 triệu VND,Từ năm 1997 đến năm 2012,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,2.0,4.0,3.0,5.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,2.0,5.0,4.0,5.0,4.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,0
2026-07-06 22:51:35.000000000,,,,,,,,,,Sau năm 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-07-06 22:53:27.000000000,,,,,,,,,,Sau năm 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-07-06 22:57:13.000000000,Có,Đúng,Hàng ngày,Từ 1 - 3 lần,Mua nhiều sản phẩm,1 - 2 lần,Nữ,Học sinh / Sinh viên,Từ 3 triệu - dưới 5 triệu VND,Từ năm 1997 đến năm 2012,2.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,3.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0
2026-07-06 22:58:33.000000000,Có,Đúng,2 - 3 lần / tuần,Trên 6 lần,Mua nhiều sản phẩm,1 - 2 lần,Nữ,Học sinh / Sinh viên,Từ 3 triệu - dưới 5 triệu VND,Từ năm 1997 đến năm 2012,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,0
2026-07-06 23:00:09.000000000,Có,Đúng,2 - 3 lần / tuần,Dưới 1 lần,"Thời trang, quần áo, phụ kiện",1 - 2 lần,Nữ,Học sinh / Sinh viên,Dưới 3 triệu VND,Từ năm 1997 đến năm 2012,4.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,3.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0
